Hadzic I, Hennig J, Peric M, Xing-Kaeding Y, 2005. Computation of flow-induced motion of floating bodies. Applied Mathematical Modelling 29, 1196–1210.
Time	WaveProbe_N1	Time	WaveProbe_N2	Time	WP_Heave	Time	WP_Roll	Time	WP_Sway
3.410569823	0.00105845	5.340996643	-0.000231978	6.800054338	-0.014887159	6.61E+00	-1.93E+00	6.66E+00	1.35E-02
3.449375256	0.001148875	5.354747547	-0.000231978	6.806795667	-0.016609283	6.62E+00	-2.01E+00	6.68E+00	1.49E-02
3.47922559	0.001239301	5.386832989	-0.000231978	6.811289886	-0.017853039	6.65E+00	-2.31E+00	6.69E+00	1.55E-02
3.524001089	0.001148875	5.402111771	-0.000231978	6.84724364	-0.021297286	6.67E+00	-2.22E+00	6.71E+00	1.67E-02
3.559821489	0.00105845	5.438780848	-0.000231978	6.84724364	-0.023497778	6.68E+00	-2.14E+00	6.74E+00	1.84E-02
3.595641889	0.000696747	5.48003356	-3.65088E-05	6.865220517	-0.026272311	6.69E+00	-1.80E+00	6.77E+00	1.88E-02
3.622507189	0.000335044	5.509063246	-0.000329712	6.874208955	-0.028472802	6.71E+00	-1.59E+00	6.80E+00	1.90E-02
3.673252755	-0.000569214	5.545732323	-0.000231978	6.883197393	-0.030673294	6.72E+00	-1.34E+00	6.81E+00	1.70E-02
3.735938455	-0.001021342	5.576289888	-0.000231978	6.89892716	-0.032299744	6.74E+00	-7.53E-01	6.83E+00	1.39E-02
3.780713954	-0.000840491	5.586985035	-0.000231978	6.925892476	-0.033830521	6.75E+00	-2.49E-01	6.84E+00	1.17E-02
3.816534354	-0.000750065	5.635877138	-0.000231978	6.946116462	-0.034978604	6.76E+00	1.70E-01	6.86E+00	1.05E-02
3.84936972	-2.66593E-05	5.680185606	-0.000427446	6.984317325	-0.033447827	6.76E+00	5.48E-01	6.87E+00	7.18E-03
3.87623502	0.000515895	5.716854683	-0.000427446	6.991058654	-0.032395418	6.77E+00	1.01E+00	6.87E+00	5.39E-03
3.897130254	0.000606321	5.744356491	-0.000231978	6.997799983	-0.030960315	6.78E+00	1.60E+00	6.89E+00	3.44E-03
3.92996562	0.001510578	5.771858299	6.12256E-05	7.020271079	-0.028759823	6.80E+00	2.27E+00	6.89E+00	1.35E-03
3.980711186	0.001962707	5.796304351	-0.000134243	7.027012407	-0.025602596	6.81E+00	2.69E+00	6.91E+00	-1.04E-03
4.001606419	0.002505261	5.819222524	6.12256E-05	7.031506627	-0.022254022	6.82E+00	3.19E+00	6.92E+00	-4.32E-03
4.025486686	0.001962707	5.855891601	0.000256694	7.044989284	-0.019670836	6.83E+00	3.74E+00	6.93E+00	-6.71E-03
4.073247219	0.001148875	5.892560678	0.00015896	7.044989284	-0.016226588	6.84E+00	4.16E+00	6.94E+00	-8.66E-03
4.088172386	0.000606321	5.921590364	0.000256694	7.06970749	-0.012686667	6.84E+00	4.78E+00	6.96E+00	-1.21E-02
4.106082585	0.000335044	5.936869146	0.000256694	7.083190147	-0.009433767	6.86E+00	5.33E+00	6.97E+00	-1.54E-02
4.123992785	-0.000207511	5.949092172	0.00015896	7.087684366	-0.005702498	6.88E+00	5.83E+00	6.99E+00	-1.73E-02
4.144888019	-0.000750065	5.981177614	0.000354429	7.098919914	-0.001397189	6.90E+00	6.30E+00	7.02E+00	-1.99E-02
4.156828152	-0.001473471	6.005623666	0.000354429	7.114649682	0.002908121	6.92E+00	7.13E+00	7.06E+00	-2.21E-02
4.204588685	-0.002106451	6.045348499	0.000354429	7.116896791	0.005395633	6.95E+00	6.13E+00	7.09E+00	-1.91E-02
4.225483918	-0.002287303	6.075906064	0.001038569	7.134873668	0.008744207	6.95E+00	5.04E+00	7.10E+00	-1.46E-02
4.243394118	-0.00255858	6.098824237	0.001136304	7.139367887	0.012475476	6.96E+00	4.45E+00	7.11E+00	-1.31E-02
4.249364185	-0.002739431	6.137021192	0.001331773	7.155097654	0.017354827	6.99E+00	3.06E+00	7.12E+00	-1.00E-02
4.267274384	-0.002829857	6.166050878	0.001624976	7.170827421	0.021373116	7.00E+00	1.93E+00	7.13E+00	-8.21E-03
4.273244451	-0.002739431	6.195080564	0.002015913	7.184310079	0.024051975	7.00E+00	7.57E-01	7.15E+00	-6.12E-03
4.294139684	-0.002468154	6.221054494	0.002015913	7.191051408	0.028452958	7.02E+00	-1.30E+00	7.15E+00	-2.98E-03
4.306079817	-0.001654323	6.234805398	0.002406851	7.200039846	0.03065345	7.03E+00	-2.43E+00	7.17E+00	1.35E-03
4.321004984	-0.001111768	6.263835084	0.002797788	7.222510942	0.034480392	7.04E+00	-3.19E+00	7.17E+00	4.04E-03
4.347870284	-0.000117085	6.308143552	0.003384195	7.240487819	0.036106842	7.05E+00	-4.15E+00	7.19E+00	7.93E-03
4.356825384	0.000515895	6.33564536	0.003872867	7.260711805	0.037350598	7.06E+00	-4.99E+00	7.20E+00	1.26E-02
4.383690684	0.001148875	6.35245202	0.003872867	7.271947353	0.038403007	7.06E+00	-5.49E+00	7.21E+00	1.55E-02
4.404585917	0.002505261	6.373842315	0.00416607	7.28767712	0.037828966	7.06E+00	-6.21E+00	7.21E+00	2.12E-02
4.419511083	0.003499944	6.390648976	0.004263804	7.303406887	0.035915495	7.06E+00	-7.09E+00	7.23E+00	2.47E-02
4.440406317	0.004132924	6.407455636	0.004459273	7.319136655	0.034193371	7.08E+00	-8.09E+00	7.24E+00	2.90E-02
4.455331483	0.004765905	6.430373809	0.004557007	7.334866422	0.03199288	7.09E+00	-9.98E+00	7.25E+00	3.54E-02
4.47025665	0.005308459	6.441068957	0.004557007	7.355090408	0.02931402	7.09E+00	-1.13E+01	7.27E+00	4.08E-02
4.482196783	0.005579736	6.470098643	0.004654742	7.355090408	0.027591896	7.10E+00	-1.17E+01	7.27E+00	4.56E-02
4.49712195	0.005670162	6.496072573	0.004654742	7.373067285	0.024626016	7.10E+00	-1.30E+01	7.29E+00	4.92E-02
4.512047116	0.005398885	6.512879233	0.004557007	7.386549942	0.021947157	7.10E+00	-1.38E+01	7.29E+00	5.29E-02
4.523987249	0.004765905	6.551076188	0.004654742	7.393291271	0.019650992	7.12E+00	-1.50E+01	7.31E+00	5.74E-02
4.559807649	0.004132924	6.580105874	0.004459273	7.40227971	0.01582405	7.14E+00	-1.65E+01	7.31E+00	6.13E-02
4.577717849	0.00295739	6.596912535	0.004459273	7.415762367	0.013623558	7.15E+00	-1.85E+01	7.33E+00	6.63E-02
4.595628049	0.00105845	6.615247073	0.004557007	7.429245025	0.011614414	7.16E+00	-1.96E+01	7.33E+00	6.86E-02
4.619508315	-0.001111768	6.641221003	0.004361538	7.433739244	0.008839881	7.18E+00	-2.10E+01	7.33E+00	7.20E-02
4.634433482	-0.003281986	6.674834324	0.003872867	7.45396323	0.005778328	7.20E+00	-2.23E+01	7.35E+00	7.75E-02
4.661298782	-0.005271352	6.709975523	0.003579663	7.458457449	0.003577836	7.21E+00	-2.31E+01	7.35E+00	7.99E-02
4.673238915	-0.006356461	6.731365818	0.003090991	7.467445888	0.001855712	7.22E+00	-2.34E+01	7.36E+00	8.25E-02
4.691149115	-0.007351144	6.751228234	0.002797788	7.476434326	0.000133588	7.24E+00	-2.36E+01	7.38E+00	8.76E-02
4.700104215	-0.007893698	6.772618529	0.002211382	7.487669874	-0.002449598	7.26E+00	-2.33E+01	7.39E+00	9.20E-02
4.712044348	-0.008526678	6.792480946	0.001918179	7.501152532	-0.005032783	7.28E+00	-2.22E+01	7.40E+00	9.38E-02
4.720999448	-0.008797956	6.810815485	0.001624976	7.507893861	-0.00790299	7.29E+00	-2.11E+01	7.42E+00	9.86E-02
4.732939581	-0.009159658	6.836789414	0.000940835	7.523623628	-0.010390502	7.30E+00	-2.01E+01	7.44E+00	1.02E-01
4.756819848	-0.009159658	6.861235466	0.00015896	7.539353395	-0.012303973	7.31E+00	-1.90E+01	7.46E+00	1.04E-01
4.774730048	-0.008978807	6.876514248	-0.000427446	7.546094724	-0.014504465	7.31E+00	-1.78E+01	7.48E+00	1.07E-01
4.789655214	-0.008436253	6.894848786	-0.001307056	7.559577381	-0.015939568	7.31E+00	-1.64E+01	7.51E+00	1.08E-01
4.795625281	-0.008164975	6.913183325	-0.002186665	7.584295587	-0.017470345	7.33E+00	-1.54E+01	7.52E+00	1.09E-01
4.816520514	-0.006808589	6.940685133	-0.003164009	7.595531135	-0.020244877	7.34E+00	-1.45E+01	7.55E+00	1.10E-01
4.840400781	-0.0050905	6.955963915	-0.004336822	7.613508011	-0.021584307	7.34E+00	-1.30E+01	7.58E+00	1.09E-01
4.855325947	-0.00255858	6.966659062	-0.004727759	7.629237779	-0.021584307	7.35E+00	-1.21E+01	7.60E+00	1.07E-01
4.879206214	0.000425469	6.97735421	-0.005705103	7.665191532	-0.021775654	7.35E+00	-1.04E+01	7.62E+00	1.05E-01
4.89413138	0.003499944	6.998744505	-0.006780181	7.698898176	-0.021967001	7.36E+00	-9.06E+00	7.64E+00	1.03E-01
4.92099668	0.007026548	7.023190556	-0.007757525	7.719122162	-0.020627572	7.37E+00	-8.43E+00	7.67E+00	9.95E-02
4.93890688	0.0103723	7.039997217	-0.008734869	7.759570135	-0.019862183	7.37E+00	-6.71E+00	7.70E+00	9.77E-02
4.95681708	0.013808478	7.053748121	-0.010396353	7.768558573	-0.018905448	7.38E+00	-5.95E+00	7.71E+00	9.70E-02
4.971742246	0.015616993	7.076666294	-0.011373697	7.784288341	-0.018044386	7.39E+00	-5.03E+00	7.73E+00	9.64E-02
4.98368238	0.016702102	7.08888932	-0.012448776	7.809006546	-0.016896303	7.39E+00	-4.57E+00	7.77E+00	9.58E-02
4.99263748	0.017063805	7.10569598	-0.013328385	7.833724752	-0.015843894	7.40E+00	-3.23E+00	7.81E+00	9.50E-02
5.00159258	0.017606359	7.124030519	-0.013914791	7.853948738	-0.014026097	7.41E+00	-2.26E+00	7.84E+00	9.47E-02
5.022487813	0.018329765	7.139309301	-0.014501198	7.874172724	-0.012878014	7.40E+00	-1.05E+00	7.88E+00	9.49E-02
5.040398013	0.018148913	7.179034134	-0.015087604	7.89664382	-0.011729932	7.41E+00	-8.17E-02	7.91E+00	9.65E-02
5.064278279	0.017244656	7.211119577	-0.015576276	7.912373587	-0.010103481	7.41E+00	1.43E+00	7.92E+00	9.85E-02
5.082188479	0.015436141	7.235565628	-0.015576276	7.928103355	-0.008764052	7.42E+00	2.56E+00	7.97E+00	1.00E-01
5.106068746	0.012813795	7.279874096	-0.015576276	7.939338903	-0.006946254	7.42E+00	3.61E+00	7.99E+00	1.01E-01
5.123978945	0.009196766	7.304320148	-0.014892135	7.948327341	-0.006276539	7.43E+00	4.83E+00	8.00E+00	1.02E-01
5.138904112	0.005670162	7.313487417	-0.014207994	7.975292656	-0.004554416	7.43E+00	5.12E+00	8.01E+00	1.04E-01
5.156814312	0.001239301	7.334877712	-0.012937447	8.002257971	-0.003119312	7.44E+00	6.55E+00	8.05E+00	1.08E-01
5.177709545	-0.003643689	7.347100738	-0.0116669	8.042705944	-0.001110168	7.45E+00	7.97E+00	8.08E+00	1.10E-01
5.198604778	-0.007622421	7.360851642	-0.010787291	8.058435711	-0.000918821	7.45E+00	9.53E+00	8.10E+00	1.12E-01
5.216514978	-0.011510728	7.377658302	-0.009516744	8.074165478	-0.000153432	7.45E+00	1.05E+01	8.12E+00	1.15E-01
5.237410211	-0.014494777	7.395992841	-0.006877916	8.110119232	0.001951386	7.45E+00	1.13E+01	8.144332901	0.115785675
5.252335378	-0.016845846	7.411271623	-0.003554947			7.46E+00	1.22E+01		
5.276215644	-0.019016064	7.435717674	-0.000329712			7.47E+00	1.30E+01		
5.288155778	-0.019920321	7.458635847	0.001527241			7.47E+00	1.39E+01		
5.306065978	-0.02037245	7.476970386	0.005143414			7.48E+00	1.52E+01		
5.320991144	-0.02037245	7.498360681	0.010225601			7.49E+00	1.61E+01		
5.329946244	-0.02037245	7.515167341	0.014819118			7.50E+00	1.67E+01		
5.359796577	-0.019920321	7.530446123	0.019314899			7.50E+00	1.74E+01		
5.374721744	-0.018383083	7.553364297	0.024299353			7.51E+00	1.80E+01		
5.395616977	-0.016574569	7.57628247	0.03026115			7.54E+00	1.90E+01		
5.41651221	-0.013680945	7.591561252	0.035441072			7.55E+00	1.93E+01		
5.44337751	-0.010968173	7.614479425	0.03983912			7.56E+00	1.94E+01		
5.458302677	-0.007531995	7.631286086	0.041989276			7.58E+00	1.91E+01		
5.47919791	-0.003101134	7.651148502	0.045116776			7.59E+00	1.83E+01		
5.500093143	0.001239301	7.674066676	0.044432636			7.59E+00	1.76E+01		
5.518003343	0.005579736	7.695456971	0.042380214			7.60E+00	1.71E+01		
5.538898576	0.010281874	7.719903022	0.04052326			7.60E+00	1.67E+01		
5.559793809	0.015616993	7.733653926	0.035147869			7.61E+00	1.63E+01		
5.577704009	0.020680834	7.756572099	0.025960837			7.61E+00	1.59E+01		
5.601584276	0.025835101	7.776434516	0.017067008			7.62E+00	1.54E+01		
5.622479509	0.030175536	7.796296933	0.01198482			7.62E+00	1.50E+01		
5.637404675	0.034244694	7.817687228	0.006316226			7.63E+00	1.43E+01		
5.652329842	0.036595763	7.834493888	0.000745366			7.63E+00	1.38E+01		
5.670240042	0.037409595	7.852828427	-0.005216431			7.64E+00	1.32E+01		
5.682180175	0.037861723	7.877274478	-0.011471432			7.64E+00	1.27E+01		
5.697105342	0.037409595	7.894081138	-0.015185338			7.64E+00	1.20E+01		
5.718000575	0.035781932	7.916999312	-0.018312839			7.65E+00	1.13E+01		
5.738895808	0.032617031	7.932278094	-0.021147136			7.65E+00	1.06E+01		
5.756806008	0.028638299	7.95526108	-0.023272007			7.65E+00	9.86E+00		
5.783671308	0.022398923	7.974769855	-0.025767858			7.65E+00	8.90E+00		
5.798596474	0.016340399	7.992885147	-0.027194058			7.67E+00	7.97E+00		
5.822476741	0.0103723	8.011000438	-0.027996296			7.67E+00	6.84E+00		
5.840386941	0.005398885	8.033296181	-0.028352846			7.69E+00	5.54E+00		
5.864267207	0.00105845	8.061165859	-0.027907158			7.70E+00	4.28E+00		
5.882177407	-0.003643689	8.076494183	-0.027283196			7.71E+00	3.44E+00		
5.897102574	-0.007893698	8.09321599	-0.026124408			7.70E+00	2.69E+00		
5.923967874	-0.012867114	8.116905217	-0.024519932			7.72E+00	1.51E+00		
5.944863107	-0.016574569	8.130840056	-0.023182869			7.72E+00	8.83E-01		
5.959788273	-0.020010747	8.154529283	-0.020954431			7.72E+00	1.28E-01		
5.98366854	-0.022994796	8.174038058	-0.019439093			7.73E+00	-8.79E-01		
5.998593706	-0.025526716	8.194940317	-0.01774548			7.74E+00	-2.18E+00		
6.013518873	-0.027335231	8.214449092	-0.016051867			7.74E+00	-3.23E+00		
6.037399139	-0.028691617	8.238138319	-0.013645153			7.75E+00	-4.07E+00		
6.049339273	-0.029415023	8.24928619	-0.011149302			7.75E+00	-4.86E+00		
6.067249473	-0.029957577	8.271581933	-0.008386039			7.76E+00	-5.58E+00		
6.079189606	-0.03031928	8.291090708	-0.006335876			7.76E+00	-6.50E+00		
6.103069872	-0.030590558	8.316173419	-0.00366175			7.76E+00	-7.59E+00		
6.117995039	-0.03031928	8.33428871	-0.001789861			7.77E+00	-8.39E+00		
6.150830405	-0.029595874	8.356584453	0.000260302			7.78E+00	-9.48E+00		
6.165755572	-0.029143746	8.374699744	0.001686502			7.79E+00	-1.05E+01		
6.180680739	-0.027877786	8.396995487	0.003290978			7.79E+00	-1.12E+01		
6.198590938	-0.025978845	8.416504262	0.004538903			7.80E+00	-1.22E+01		
6.216501138	-0.023989479	8.43322607	0.006232516			7.81E+00	-1.31E+01		
6.240381405	-0.021457558	8.451341361	0.007747854			7.81E+00	-1.39E+01		
6.264261671	-0.019016064	8.475030588	0.008371817			7.82E+00	-1.48E+01		
6.282171871	-0.016303292	8.494539363	0.009174055			7.84E+00	-1.63E+01		
6.303067104	-0.013138391	8.514048138	0.009619743			7.85E+00	-1.69E+01		
6.320977304	-0.009792639	8.533556913	0.010243705			7.87E+00	-1.73E+01		
6.341872537	-0.006266035	8.555852656	0.01042198			7.88E+00	-1.72E+01		
6.365752804	-0.002468154	8.575361431	0.009887155			7.90E+00	-1.71E+01		
6.380677971	0.00105845	8.586509302	0.00935233			7.93E+00	-1.67E+01		
6.39858817	0.003952073	8.610198529	0.009084917			7.94E+00	-1.60E+01		
6.422468437	0.007569102	8.631100788	0.008371817			7.95E+00	-1.51E+01		
6.44336367	0.010734003	8.647822596	0.007836992			7.96E+00	-1.45E+01		
6.467243937	0.014170181	8.670118338	0.007123892			7.98E+00	-1.30E+01		
6.482169103	0.016340399	8.685446662	0.006499929			7.98E+00	-1.20E+01		
6.49709427	0.018420191	8.707742405	0.005786829			8.00E+00	-1.03E+01		
6.520974536	0.019686151	8.72028376	0.005073729			8.00E+00	-9.02E+00		
6.53291467	0.021132963	8.730038148	0.004449766			8.01E+00	-8.22E+00		
6.553809903	0.02203722	8.741186019	0.004182353			8.01E+00	-6.84E+00		
6.562765003	0.022760626	8.756514342	0.003380115			8.03E+00	-5.07E+00		
6.586645269	0.023031903	8.770449182	0.002756153			8.04E+00	-4.23E+00		
6.619480636	0.022579774	8.785777505	0.001953915			8.05E+00	-3.35E+00		
6.649330969	0.021494665	8.806679764	0.00106254			8.05E+00	-2.18E+00		
6.658286069	0.02077126	8.822008087	0.000705989			8.06E+00	-8.79E-01		
6.679181302	0.019234022	8.840123378	-7.11081E-06			8.07E+00	-1.66E-01		
6.706046602	0.018058488	8.852664734	-7.11081E-06			8.08E+00	1.34E+00		
6.726941835	0.016069121	8.872173509	-0.000720211			8.08E+00	2.73E+00		
6.735896935	0.014531884	8.891682284	-0.000987624			8.09637537	3.777897873		
6.759777201	0.012090389	8.908404091	-0.000987624			8.111905758	4.407176825		
6.783657468	0.009920171	8.933486802	-0.001344174			8.115788355	5.372071218		
6.804552701	0.007478677	8.952995577	-0.001076761			8.119670952	6.0433021		
6.825447934	0.005851013	8.9683239	-0.000809349			8.131318743	6.336965611		
6.834403034	0.004042499	8.989226159	-0.000363661						
6.858283301	0.002505261	9.00734145	-9.62483E-05						
6.885148601	0.00169143	9.028243709	8.20267E-05						
6.897088734	6.37664E-05	9.044965517	0.000438577						
6.914998934	-0.001111768	9.078409131	0.000527714						
6.935894167	-0.002106451	9.097917906	0.000884265						
6.950819333	-0.00319156	9.141115908	0.000705989						
6.9567894	-0.004095817	9.164805135	0.000884265						
6.9657445	-0.004276669	9.205216169	0.000973402						
6.980669667	-0.004728797	9.231692364	0.000884265						
6.998579866	-0.005180926	9.26234901	0.000884265						
7.013505033	-0.005813906	9.334810175	0.000260302						
7.031415233	-0.005904332	9.396123468	8.20267E-05						
7.043355366	-0.006356461	9.464404181	-0.000541936						
7.073205699	-0.006989441	9.514569602	-0.001165899						
7.094100933	-0.007170292	9.571702444	-0.002592099						
7.132906366	-0.007079867	9.637196189	-0.003126924						
7.171711799	-0.006808589	9.690148578	-0.0033052						
7.234397498	-0.006446886	9.777938066	-0.002413824						
7.276187965	-0.006085184								
7.297083198	-0.005994758								
7.353798831	-0.005452203								
7.383649164	-0.005361778								
7.437379764	-0.005271352								
7.482155263	-0.005000075								
7.509020563	-0.004638372								
7.55081103	-0.00382454								
7.577676329	-0.002739431								
7.601556596	-0.001835174								
7.616481762	-0.001111768								
7.640362029	-0.000117085								
7.655287196	0.000606321								
7.676182429	0.001510578								
7.691107595	0.002414836								
7.714987862	0.00359037								
7.717972895	0.003861647								
7.747823228	0.00422335								
7.765733428	0.004494627								
7.792598728	0.004313776								
7.819464028	0.003409519								
7.834389194	0.002866964								
7.855284428	0.002053133								
7.873194627	0.001420152								
7.882149727	0.000877598								
7.941850394	-0.000117085								
7.953790527	-0.000207511								
7.98364086	-0.000297937								
8.00155106	-2.66593E-05								
8.025431326	0.000606321								
8.040356493	0.001148875								
8.058266693	0.001872281								
8.076176893	0.002686113								
8.106027226	0.003499944								
8.120952392	0.004132924								
8.162742859	0.004765905								
8.201548292	0.004585053								
8.222443525	0.003680796								
8.243338758	0.003319093								
8.264233992	0.002866964								
8.279159158	0.002233984								
8.300054391	0.001601004								
8.314979558	0.001239301								
8.341844858	0.00105845								
8.371695191	0.000606321								
8.386620357	0.000425469								
8.410500624	0.000335044								
8.446321024	0.000244618								
8.46124619	0.000515895								
8.482141423	0.000606321								
8.52393189	0.000696747								
8.544827123	0.000696747								
8.592587656	0.000606321								
8.625423022	0.000515895								
8.664228456	0.000244618								
8.711988989	6.37664E-05								
8.735869255	-0.000297937								
8.768704622	-0.000750065								
8.798554955	-0.001021342								
8.822435221	-0.001021342								
8.870195754	-0.000930917								
8.906016154	-0.000840491								
8.962731787	-0.000659639								
9.02840252	-0.000569214								
9.04631272	-0.000478788								
9.120938553	-0.000478788								
9.159743986	-0.000388362								
9.213474585	-0.000297937								
9.240339885	-0.000478788								
9.294070485	-0.000569214								
9.323920818	-0.000388362								
9.350786118	-0.000297937								
9.401531684	0.000244618								
9.419441884	0.000335044								
9.485112617	0.000877598								
9.544813283	0.001601004								
9.58660375	0.001601004								
9.631379249	0.00105845								
9.697049982	0.000787172								
9.792571048	0.000244618								
9.885107081	0.000154192								
9.995553313	-0.000117085								
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
